case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,existing_credits,job,num_dependents,class
221,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','<1','male mar/wid','26<=X<36',1,'unskilled resident',1,good
222,'<0','existing paid',education,'0<=X<2000','no known savings','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,good
223,'no checking','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','male single','26<=X<36',2,skilled,1,good
224,'no checking','delayed previously',business,'2000<=X<4000','no known savings','1<=X<4','male single','26<=X<36',2,skilled,2,good
225,'no checking','existing paid','used car','4000<=X<6000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,good
226,'no checking','no credits/all paid',repairs,'2000<=X<4000','<100','1<=X<4','male single','26<=X<36',2,skilled,1,good
227,'0<=X<200','existing paid',radio/tv,'10000<=X<12000','>=1000','4<=X<7','male single','26<=X<36',2,skilled,1,bad
228,'<0','existing paid',furniture/equipment,'6000<=X<8000','<100','>=7','male single','46<=X<56',1,'high qualif/self emp/mgmt',1,bad
229,'no checking','existing paid',radio/tv,'0<=X<2000','<100','4<=X<7','male single','18<=X<26',1,skilled,1,bad
230,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100','<1','male single','18<=X<26',1,skilled,1,good
231,'>=200','existing paid',radio/tv,'4000<=X<6000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,bad
232,'no checking','existing paid','new car','2000<=X<4000','500<=X<1000','>=7','male single','46<=X<56',1,'unskilled resident',1,good
233,'no checking','existing paid',radio/tv,'2000<=X<4000','100<=X<500','4<=X<7','male single','26<=X<36',1,skilled,1,good
234,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','male mar/wid','18<=X<26',1,'unskilled resident',1,good
235,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','<100','4<=X<7','male single','36<=X<46',3,'unskilled resident',2,good
236,'<0','existing paid',radio/tv,'0<=X<2000','<100',unemployed,'male single','26<=X<36',1,'high qualif/self emp/mgmt',2,bad
237,'0<=X<200','existing paid','new car','14000<=X<16000','no known savings',unemployed,'male single','18<=X<26',1,'unemp/unskilled non res',1,bad
238,'0<=X<200','existing paid',business,'2000<=X<4000','100<=X<500','>=7','male div/sep','56<=X<66',2,'unskilled resident',1,bad
239,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','<100','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,good
240,'<0','existing paid',radio/tv,'2000<=X<4000','<100','>=7','male single','36<=X<46',1,skilled,2,good
241,'<0','existing paid','new car','0<=X<2000','no known savings','>=7','female div/dep/mar','26<=X<36',1,skilled,1,bad
242,'no checking','existing paid',radio/tv,'0<=X<2000','<100','4<=X<7','male single','46<=X<56',1,skilled,2,good
243,'<0','no credits/all paid','used car','4000<=X<6000','<100','>=7','male single','18<=X<26',2,skilled,2,bad
244,'no checking','critical/other existing credit',business,'0<=X<2000','<100','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,good
245,'no checking','all paid',retraining,'2000<=X<4000','500<=X<1000','1<=X<4','female div/dep/mar','26<=X<36',1,'unskilled resident',2,good
246,'no checking','existing paid',business,'0<=X<2000','<100','4<=X<7','male single','18<=X<26',1,skilled,1,good
247,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','<100','>=7','male single','46<=X<56',3,skilled,1,good
248,'no checking','no credits/all paid','new car','0<=X<2000','100<=X<500','1<=X<4','male single','26<=X<36',1,skilled,1,good
249,'>=200','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,good
250,'no checking','existing paid',radio/tv,'0<=X<2000','<100',unemployed,'female div/dep/mar','18<=X<26',1,skilled,1,bad
251,'<0','critical/other existing credit','new car','0<=X<2000','>=1000','4<=X<7','female div/dep/mar','36<=X<46',2,'unskilled resident',1,good
252,'>=200','existing paid',furniture/equipment,'2000<=X<4000','<100','1<=X<4','female div/dep/mar','46<=X<56',1,'unskilled resident',1,good
253,'0<=X<200','existing paid','new car','2000<=X<4000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,bad
254,'no checking','delayed previously',furniture/equipment,'4000<=X<6000','100<=X<500','1<=X<4','male single','26<=X<36',2,skilled,1,good
255,'0<=X<200','existing paid',furniture/equipment,'2000<=X<4000','no known savings','4<=X<7','male single','18<=X<26',1,skilled,1,good
256,'0<=X<200','delayed previously',radio/tv,'6000<=X<8000','no known savings','1<=X<4','male single','26<=X<36',1,'unskilled resident',1,good
257,'no checking','critical/other existing credit',radio/tv,'2000<=X<4000','<100','1<=X<4','male single','26<=X<36',2,'unskilled resident',1,good
258,'<0','all paid',radio/tv,'2000<=X<4000','<100','1<=X<4','male div/sep','26<=X<36',1,skilled,1,bad
259,'no checking','existing paid','used car','2000<=X<4000','100<=X<500','<1','female div/dep/mar','18<=X<26',1,skilled,1,good
260,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','100<=X<500',unemployed,'female div/dep/mar','56<=X<66',3,'unskilled resident',1,good
261,'<0','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,good
262,'<0','existing paid',radio/tv,'0<=X<2000','<100','>=7','female div/dep/mar','46<=X<56',1,skilled,1,good
263,'<0','critical/other existing credit','new car','4000<=X<6000','<100','>=7','male single','36<=X<46',3,'high qualif/self emp/mgmt',1,good
264,'no checking','critical/other existing credit',education,'2000<=X<4000','<100','>=7','female div/dep/mar','56<=X<66',3,'unskilled resident',1,good
265,'no checking','critical/other existing credit','new car','0<=X<2000','<100','>=7','male single','26<=X<36',2,'unskilled resident',2,good
266,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','>=7','male single','36<=X<46',1,skilled,2,bad
267,'no checking','critical/other existing credit',business,'6000<=X<8000','no known savings','>=7','male single','36<=X<46',2,skilled,1,good
268,'no checking','existing paid',radio/tv,'0<=X<2000','<100','<1','female div/dep/mar','36<=X<46',1,skilled,1,good
269,'<0','existing paid','new car','8000<=X<10000','<100','>=7','male div/sep','36<=X<46',1,'high qualif/self emp/mgmt',1,bad
270,'no checking','existing paid',radio/tv,'0<=X<2000','no known savings','>=7','male single','18<=X<26',2,skilled,1,good
271,'no checking','existing paid','new car','2000<=X<4000','no known savings','4<=X<7','male single','26<=X<36',1,skilled,1,good
272,'no checking','critical/other existing credit',furniture/equipment,'0<=X<2000','500<=X<1000','4<=X<7','female div/dep/mar','36<=X<46',1,skilled,1,good
273,'0<=X<200','all paid','new car','12000<=X<14000','no known savings',unemployed,'male single','36<=X<46',1,'high qualif/self emp/mgmt',1,good
274,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','<100','4<=X<7','male single','26<=X<36',2,skilled,1,bad
275,'<0','existing paid',repairs,'10000<=X<12000','<100','<1','male div/sep','26<=X<36',1,'unskilled resident',1,bad
276,'no checking','existing paid',radio/tv,'2000<=X<4000','<100','1<=X<4','male single','26<=X<36',1,skilled,2,good
277,'no checking','critical/other existing credit',radio/tv,'2000<=X<4000','<100','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,good
278,'<0','existing paid',furniture/equipment,'0<=X<2000','no known savings','>=7','male div/sep','46<=X<56',1,'unskilled resident',1,good
279,'no checking','existing paid',furniture/equipment,'4000<=X<6000','<100','<1','female div/dep/mar','26<=X<36',1,skilled,1,bad
280,'no checking','existing paid',radio/tv,'0<=X<2000','100<=X<500','1<=X<4','male single','26<=X<36',1,'high qualif/self emp/mgmt',1,good
281,'no checking','critical/other existing credit','used car','2000<=X<4000','>=1000','>=7','male single','18<=X<26',2,skilled,1,good
282,'no checking','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','male single','46<=X<56',1,skilled,1,good
283,'>=200','all paid',radio/tv,'0<=X<2000','no known savings','4<=X<7','male single','46<=X<56',1,'unskilled resident',1,good
284,'no checking','critical/other existing credit',furniture/equipment,'0<=X<2000','no known savings','>=7','male single','56<=X<66',1,skilled,1,good
285,'0<=X<200','critical/other existing credit','new car','2000<=X<4000','100<=X<500','<1','male div/sep','36<=X<46',1,skilled,1,good
286,'<0','existing paid','new car','10000<=X<12000','<100','<1','female div/dep/mar','26<=X<36',1,'unskilled resident',1,good
287,'<0','existing paid','used car','4000<=X<6000','<100','4<=X<7','male single','26<=X<36',1,skilled,2,good
288,'0<=X<200','delayed previously',other,'6000<=X<8000','100<=X<500',unemployed,'male single','26<=X<36',1,'high qualif/self emp/mgmt',1,good
289,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','female div/dep/mar','46<=X<56',2,skilled,1,good
290,'<0','delayed previously',radio/tv,'0<=X<2000','<100','<1','male mar/wid','46<=X<56',1,skilled,1,bad
291,'no checking','existing paid',business,'0<=X<2000','<100','1<=X<4','male mar/wid','26<=X<36',1,skilled,1,good
292,'0<=X<200','existing paid','used car','8000<=X<10000','<100','<1','male mar/wid','26<=X<36',1,'high qualif/self emp/mgmt',1,bad
293,'<0','critical/other existing credit','used car','6000<=X<8000','<100','>=7','female div/dep/mar','36<=X<46',2,'high qualif/self emp/mgmt',2,good
294,'>=200','critical/other existing credit','used car','4000<=X<6000','<100','>=7','male single','56<=X<66',1,skilled,1,good
295,'no checking','critical/other existing credit',business,'6000<=X<8000','no known savings','>=7','male div/sep','46<=X<56',2,'high qualif/self emp/mgmt',2,good
296,'0<=X<200','existing paid',furniture/equipment,'8000<=X<10000','<100','<1','female div/dep/mar','26<=X<36',1,skilled,1,bad
297,'no checking','existing paid','used car','4000<=X<6000','no known savings','<1','female div/dep/mar','18<=X<26',1,skilled,1,good
298,'no checking','existing paid','new car','0<=X<2000','no known savings','>=7','male single','36<=X<46',1,'unskilled resident',1,good
299,'no checking','existing paid',furniture/equipment,'2000<=X<4000','<100','1<=X<4','male single','36<=X<46',1,skilled,1,good
300,'0<=X<200','critical/other existing credit',furniture/equipment,'2000<=X<4000','>=1000','4<=X<7','male single','26<=X<36',2,skilled,1,good
301,'no checking','existing paid','new car','0<=X<2000','<100',unemployed,'female div/dep/mar','46<=X<56',1,'unemp/unskilled non res',1,good
302,'0<=X<200','no credits/all paid',radio/tv,'2000<=X<4000','<100','1<=X<4','female div/dep/mar','36<=X<46',1,skilled,1,bad
303,'>=200','critical/other existing credit','new car','0<=X<2000','no known savings','4<=X<7','male single','36<=X<46',2,'unskilled resident',2,bad
304,'<0','critical/other existing credit','new car','0<=X<2000','<100','4<=X<7','male single','46<=X<56',2,skilled,1,good
305,'no checking','critical/other existing credit','new car','10000<=X<12000','500<=X<1000','1<=X<4','male single','36<=X<46',1,skilled,1,bad
306,'no checking','existing paid',furniture/equipment,'0<=X<2000','>=1000','1<=X<4','male div/sep','26<=X<36',1,skilled,1,good
307,'no checking','existing paid','used car','4000<=X<6000','no known savings','4<=X<7','female div/dep/mar','18<=X<26',1,'unskilled resident',1,good
308,'<0','existing paid',radio/tv,'0<=X<2000','100<=X<500','<1','male mar/wid','26<=X<36',1,'unskilled resident',1,bad
309,'0<=X<200','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,bad
310,'0<=X<200','existing paid','new car','0<=X<2000','<100','1<=X<4','male mar/wid','18<=X<26',1,'unskilled resident',1,good
311,'0<=X<200','existing paid',other,'4000<=X<6000','no known savings',unemployed,'male single','36<=X<46',1,'unemp/unskilled non res',1,good
312,'no checking','existing paid',furniture/equipment,'4000<=X<6000','100<=X<500','1<=X<4','male single','18<=X<26',1,skilled,1,good
313,'>=200','existing paid',furniture/equipment,'2000<=X<4000','<100','<1','female div/dep/mar','26<=X<36',1,skilled,1,good
314,'0<=X<200','existing paid','new car','0<=X<2000','<100','4<=X<7','male mar/wid','18<=X<26',1,'unskilled resident',1,bad
315,'>=200','existing paid','new car','0<=X<2000','no known savings','<1','male single','26<=X<36',1,'unskilled resident',2,good
316,'<0','all paid',furniture/equipment,'2000<=X<4000','<100','>=7','male single','26<=X<36',1,skilled,1,bad
317,'<0','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','male single','36<=X<46',1,'unskilled resident',2,good
318,'0<=X<200','existing paid',furniture/equipment,'4000<=X<6000','no known savings','1<=X<4','female div/dep/mar','46<=X<56',1,'unskilled resident',1,good
319,'no checking','critical/other existing credit',education,'0<=X<2000','<100','1<=X<4','male single','26<=X<36',2,skilled,1,good
320,'<0','delayed previously',furniture/equipment,'2000<=X<4000','<100','>=7','female div/dep/mar','26<=X<36',2,'unskilled resident',1,good
321,'0<=X<200','critical/other existing credit','new car','4000<=X<6000','<100',unemployed,'male mar/wid','26<=X<36',2,'high qualif/self emp/mgmt',1,bad
322,'<0','existing paid',radio/tv,'0<=X<2000','<100','<1','male div/sep','26<=X<36',1,skilled,1,bad
323,'<0','existing paid','used car','2000<=X<4000','<100','4<=X<7','male single','26<=X<36',1,'high qualif/self emp/mgmt',1,good
324,'<0','existing paid',furniture/equipment,'2000<=X<4000','>=1000','1<=X<4','male single','26<=X<36',1,skilled,1,good
325,'no checking','critical/other existing credit','new car','0<=X<2000','<100','1<=X<4','female div/dep/mar','36<=X<46',2,skilled,1,good
326,'<0','critical/other existing credit','new car','2000<=X<4000','<100','4<=X<7','male single','36<=X<46',2,'unskilled resident',1,good
327,'no checking','critical/other existing credit',furniture/equipment,'4000<=X<6000','no known savings','>=7','male single','46<=X<56',1,skilled,1,good
328,'no checking','existing paid','new car','0<=X<2000','>=1000','4<=X<7','female div/dep/mar','26<=X<36',1,skilled,2,good
329,'>=200','existing paid',radio/tv,'4000<=X<6000','<100','>=7','male single','26<=X<36',1,skilled,1,good
330,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','>=7','male single','26<=X<36',1,skilled,2,good
331,'<0','critical/other existing credit','used car','6000<=X<8000','<100',unemployed,'male single','66<=X<76',2,'high qualif/self emp/mgmt',1,good
332,'no checking','critical/other existing credit',education,'0<=X<2000','100<=X<500','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,bad
333,'0<=X<200','existing paid','new car','6000<=X<8000','100<=X<500','<1','female div/dep/mar','18<=X<26',1,'high qualif/self emp/mgmt',1,bad
334,'no checking','critical/other existing credit','used car','10000<=X<12000','100<=X<500','1<=X<4','female div/dep/mar','18<=X<26',2,'unskilled resident',1,bad
335,'<0','no credits/all paid',furniture/equipment,'4000<=X<6000','<100','>=7','male single','18<=X<26',2,skilled,2,bad
336,'<0','critical/other existing credit',furniture/equipment,'2000<=X<4000','<100','1<=X<4','male div/sep','36<=X<46',1,'high qualif/self emp/mgmt',1,bad
337,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','<100','<1','female div/dep/mar','18<=X<26',1,'unskilled resident',1,good
338,'<0','existing paid','domestic appliance','0<=X<2000','no known savings','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,bad
339,'<0','existing paid',furniture/equipment,'4000<=X<6000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,good
340,'0<=X<200','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','male div/sep','26<=X<36',1,'unskilled resident',1,good
341,'0<=X<200','critical/other existing credit',education,'4000<=X<6000','<100','<1','female div/dep/mar','18<=X<26',2,skilled,1,good
342,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100','4<=X<7','female div/dep/mar','26<=X<36',1,'unskilled resident',1,good
343,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','500<=X<1000','<1','male mar/wid','18<=X<26',1,skilled,1,good
344,'0<=X<200','existing paid',business,'4000<=X<6000','<100','>=7','male single','26<=X<36',1,'high qualif/self emp/mgmt',1,good
345,'>=200','existing paid','new car','2000<=X<4000','<100','<1','male single','36<=X<46',1,'unskilled resident',2,good
346,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','<100','1<=X<4','female div/dep/mar','36<=X<46',1,'unskilled resident',1,good
347,'0<=X<200','critical/other existing credit',radio/tv,'0<=X<2000','<100','<1','male single','18<=X<26',2,skilled,1,good
348,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','500<=X<1000',unemployed,'female div/dep/mar','18<=X<26',1,'unemp/unskilled non res',1,good
349,'no checking','delayed previously',business,'0<=X<2000','100<=X<500','1<=X<4','male single','26<=X<36',2,'unskilled resident',1,good
350,'0<=X<200','critical/other existing credit',education,'0<=X<2000','>=1000','>=7','male single','26<=X<36',2,skilled,2,bad
351,'no checking','existing paid','domestic appliance','0<=X<2000','<100','<1','female div/dep/mar','18<=X<26',1,skilled,1,good
352,'0<=X<200','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,bad
353,'no checking','critical/other existing credit','used car','2000<=X<4000','no known savings',unemployed,'male single','36<=X<46',1,'high qualif/self emp/mgmt',1,good
354,'<0','no credits/all paid',radio/tv,'6000<=X<8000','<100','1<=X<4','male single','26<=X<36',2,skilled,1,bad
355,'no checking','existing paid',education,'0<=X<2000','500<=X<1000','>=7','male single','46<=X<56',1,skilled,1,good
356,'0<=X<200','existing paid','new car','0<=X<2000','<100','<1','male single','18<=X<26',1,'unskilled resident',1,bad
357,'no checking','critical/other existing credit',radio/tv,'2000<=X<4000','no known savings','>=7','male single','46<=X<56',1,skilled,1,good
358,'no checking','delayed previously',radio/tv,'4000<=X<6000','<100','1<=X<4','male single','26<=X<36',2,'high qualif/self emp/mgmt',1,bad
359,'no checking','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','male mar/wid','26<=X<36',1,skilled,1,good
360,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100','4<=X<7','female div/dep/mar','18<=X<26',1,skilled,1,bad
361,'0<=X<200','existing paid',education,'0<=X<2000','no known savings','1<=X<4','male single','56<=X<66',1,skilled,1,good
362,'>=200','existing paid',radio/tv,'2000<=X<4000','no known savings','>=7','male single','36<=X<46',1,'high qualif/self emp/mgmt',1,good
363,'>=200','delayed previously','new car','2000<=X<4000','<100','1<=X<4','female div/dep/mar','36<=X<46',2,skilled,1,good
364,'no checking','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','male mar/wid','18<=X<26',1,skilled,1,good
365,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100',unemployed,'male single','18<=X<26',1,'unemp/unskilled non res',1,bad
366,'no checking','existing paid',business,'0<=X<2000','<100','4<=X<7','male single','36<=X<46',1,skilled,1,good
367,'no checking','critical/other existing credit','used car','2000<=X<4000','<100','4<=X<7','male single','26<=X<36',2,skilled,1,good
368,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100','<1','female div/dep/mar','18<=X<26',1,skilled,1,good
369,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100','>=7','male single','36<=X<46',1,skilled,2,bad
370,'0<=X<200','existing paid',furniture/equipment,'2000<=X<4000','<100','4<=X<7','female div/dep/mar','36<=X<46',1,skilled,1,good
371,'no checking','existing paid','new car','2000<=X<4000','no known savings','1<=X<4','male single','36<=X<46',1,skilled,1,good
372,'no checking','critical/other existing credit',radio/tv,'6000<=X<8000','<100','>=7','male single','26<=X<36',2,skilled,1,good
373,'no checking','critical/other existing credit',furniture/equipment,'2000<=X<4000','<100','<1','female div/dep/mar','18<=X<26',2,skilled,1,good
374,'no checking','critical/other existing credit','new car','12000<=X<14000','no known savings','>=7','male single','56<=X<66',1,'high qualif/self emp/mgmt',1,good
375,'0<=X<200','all paid',other,'14000<=X<16000','100<=X<500','>=7','female div/dep/mar','56<=X<66',2,'high qualif/self emp/mgmt',1,bad
376,'<0','all paid',business,'6000<=X<8000','<100','4<=X<7','female div/dep/mar','36<=X<46',1,skilled,1,bad
377,'no checking','delayed previously',radio/tv,'2000<=X<4000','<100',unemployed,'male mar/wid','26<=X<36',2,skilled,1,good
378,'no checking','delayed previously',radio/tv,'0<=X<2000','no known savings','>=7','male single','36<=X<46',1,skilled,1,good
379,'0<=X<200','existing paid','new car','14000<=X<16000','<100','>=7','male single','56<=X<66',1,'high qualif/self emp/mgmt',1,bad
380,'no checking','critical/other existing credit','new car','0<=X<2000','100<=X<500','1<=X<4','female div/dep/mar','46<=X<56',2,'unskilled resident',1,good
381,'<0','existing paid',furniture/equipment,'2000<=X<4000','no known savings','4<=X<7','male single','36<=X<46',1,skilled,1,good
382,'0<=X<200','existing paid','used car','12000<=X<14000','<100',unemployed,'female div/dep/mar','36<=X<46',1,'high qualif/self emp/mgmt',1,bad
383,'no checking','existing paid','new car','0<=X<2000','no known savings','4<=X<7','female div/dep/mar','18<=X<26',1,skilled,1,good
384,'>=200','existing paid','new car','0<=X<2000','<100','<1','male single','26<=X<36',1,skilled,1,good
385,'no checking','delayed previously',business,'4000<=X<6000','100<=X<500','1<=X<4','male single','26<=X<36',2,'unskilled resident',1,good
386,'no checking','critical/other existing credit',radio/tv,'2000<=X<4000','<100','1<=X<4','female div/dep/mar','18<=X<26',2,skilled,1,good
387,'no checking','existing paid',radio/tv,'0<=X<2000','no known savings','<1','female div/dep/mar','18<=X<26',1,skilled,1,good
388,'0<=X<200','critical/other existing credit',furniture/equipment,'6000<=X<8000','<100',unemployed,'male single','36<=X<46',2,'high qualif/self emp/mgmt',1,good
389,'0<=X<200','critical/other existing credit',business,'2000<=X<4000','500<=X<1000','1<=X<4','male single','26<=X<36',1,skilled,1,good
390,'no checking','existing paid',business,'0<=X<2000','<100','4<=X<7','female div/dep/mar','26<=X<36',2,skilled,1,good
391,'no checking','existing paid','new car','0<=X<2000','<100','1<=X<4','male mar/wid','26<=X<36',1,'high qualif/self emp/mgmt',1,good
392,'0<=X<200','existing paid',furniture/equipment,'0<=X<2000','>=1000','<1','female div/dep/mar','18<=X<26',1,'unskilled resident',1,good
393,'<0','existing paid','new car','2000<=X<4000','<100','4<=X<7','male single','36<=X<46',1,'high qualif/self emp/mgmt',2,good
394,'<0','critical/other existing credit',radio/tv,'0<=X<2000','<100','4<=X<7','female div/dep/mar','26<=X<36',1,skilled,1,good
395,'no checking','critical/other existing credit',furniture/equipment,'2000<=X<4000','<100',unemployed,'male single','26<=X<36',1,'high qualif/self emp/mgmt',1,good
396,'0<=X<200','delayed previously',education,'10000<=X<12000','100<=X<500','4<=X<7','male single','26<=X<36',1,skilled,1,good
397,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100',unemployed,'female div/dep/mar','46<=X<56',1,'high qualif/self emp/mgmt',1,good
398,'<0','critical/other existing credit',furniture/equipment,'2000<=X<4000','<100','1<=X<4','male mar/wid','46<=X<56',2,skilled,1,good
399,'0<=X<200','existing paid','new car','0<=X<2000','<100','>=7','male div/sep','46<=X<56',2,skilled,1,bad
400,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','>=1000','1<=X<4','female div/dep/mar','36<=X<46',2,'unskilled resident',1,good
401,'no checking','existing paid',radio/tv,'0<=X<2000','<100','<1','male mar/wid','36<=X<46',1,skilled,1,good
402,'0<=X<200','critical/other existing credit',business,'0<=X<2000','no known savings','1<=X<4','male mar/wid','26<=X<36',2,skilled,1,good
403,'no checking','delayed previously',business,'8000<=X<10000','<100','<1','male single','26<=X<36',2,skilled,1,bad
404,'no checking','delayed previously','new car','0<=X<2000','<100','1<=X<4','male single','26<=X<36',2,'unskilled resident',1,good
405,'0<=X<200','delayed previously','new car','2000<=X<4000','no known savings','>=7','male single','36<=X<46',1,skilled,2,good
406,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','<100','<1','male mar/wid','18<=X<26',1,skilled,1,bad
407,'no checking','critical/other existing credit','used car','2000<=X<4000','no known savings','4<=X<7','male single','36<=X<46',2,skilled,2,good
408,'<0','existing paid',radio/tv,'0<=X<2000','<100','<1','male mar/wid','26<=X<36',1,skilled,1,good
409,'no checking','existing paid',radio/tv,'2000<=X<4000','500<=X<1000','>=7','male div/sep','26<=X<36',1,'high qualif/self emp/mgmt',1,good
410,'>=200','critical/other existing credit','new car','0<=X<2000','500<=X<1000','4<=X<7','male mar/wid','26<=X<36',3,skilled,1,bad
411,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','>=7','female div/dep/mar','18<=X<26',1,skilled,1,good
412,'no checking','critical/other existing credit','used car','6000<=X<8000','<100','4<=X<7','male single','26<=X<36',2,'high qualif/self emp/mgmt',1,good
413,'no checking','critical/other existing credit',business,'2000<=X<4000','<100',unemployed,'male single','36<=X<46',2,'high qualif/self emp/mgmt',1,bad
414,'no checking','existing paid','new car','0<=X<2000','500<=X<1000','1<=X<4','male single','36<=X<46',1,'unskilled resident',2,good
415,'<0','existing paid','new car','0<=X<2000','no known savings','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,bad
416,'no checking','critical/other existing credit','used car','4000<=X<6000','<100','>=7','male single','26<=X<36',2,skilled,2,good
417,'<0','existing paid','new car','2000<=X<4000','<100','<1','male single','26<=X<36',1,'unskilled resident',2,bad
418,'<0','delayed previously',education,'8000<=X<10000','no known savings','1<=X<4','female div/dep/mar','18<=X<26',2,skilled,1,good
419,'no checking','existing paid','new car','2000<=X<4000','500<=X<1000','4<=X<7','female div/dep/mar','26<=X<36',1,'high qualif/self emp/mgmt',1,good
420,'0<=X<200','existing paid','new car','0<=X<2000','no known savings','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,bad
421,'no checking','existing paid','new car','2000<=X<4000','>=1000','4<=X<7','female div/dep/mar','18<=X<26',1,skilled,1,good
422,'0<=X<200','existing paid','used car','2000<=X<4000','no known savings','1<=X<4','male single','26<=X<36',1,skilled,1,good
423,'0<=X<200','critical/other existing credit','new car','0<=X<2000','<100','4<=X<7','male single','46<=X<56',2,'unskilled resident',2,good
424,'no checking','delayed previously',furniture/equipment,'0<=X<2000','100<=X<500','4<=X<7','male single','26<=X<36',2,'high qualif/self emp/mgmt',1,good
425,'0<=X<200','existing paid',furniture/equipment,'2000<=X<4000','no known savings','>=7','female div/dep/mar','18<=X<26',1,skilled,1,bad
426,'0<=X<200','existing paid','used car','2000<=X<4000','<100','1<=X<4','male mar/wid','18<=X<26',1,skilled,1,good
427,'no checking','critical/other existing credit',radio/tv,'2000<=X<4000','<100','>=7','male single','26<=X<36',2,skilled,1,good
428,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','>=1000','1<=X<4','male single','46<=X<56',2,skilled,1,good
429,'no checking','existing paid',furniture/equipment,'0<=X<2000','<100','>=7','male single','18<=X<26',1,skilled,1,good
430,'<0','critical/other existing credit',repairs,'0<=X<2000','<100',unemployed,'female div/dep/mar','46<=X<56',3,'unemp/unskilled non res',2,bad
431,'no checking','existing paid',business,'2000<=X<4000','<100','4<=X<7','male single','66<=X<76',1,'unskilled resident',1,good
432,'0<=X<200','existing paid',other,'10000<=X<12000','<100','1<=X<4','male single','26<=X<36',2,'high qualif/self emp/mgmt',1,bad
433,'<0','critical/other existing credit',furniture/equipment,'0<=X<2000','<100',unemployed,'male single','36<=X<46',3,'high qualif/self emp/mgmt',1,good
434,'no checking','critical/other existing credit',repairs,'2000<=X<4000','<100','1<=X<4','male div/sep','26<=X<36',2,skilled,1,good
435,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100','1<=X<4','male single','18<=X<26',1,skilled,1,good
436,'0<=X<200','existing paid',radio/tv,'0<=X<2000','no known savings','1<=X<4','male mar/wid','18<=X<26',1,skilled,1,bad
437,'no checking','existing paid',repairs,'0<=X<2000','500<=X<1000','4<=X<7','male mar/wid','18<=X<26',1,'unskilled resident',1,good
438,'no checking','critical/other existing credit','new car','0<=X<2000','>=1000','>=7','female div/dep/mar','36<=X<46',2,skilled,1,good
439,'<0','critical/other existing credit',repairs,'2000<=X<4000','<100',unemployed,'male single','56<=X<66',2,'unemp/unskilled non res',1,good
440,'>=200','all paid',business,'0<=X<2000','<100','<1','female div/dep/mar','26<=X<36',1,'unemp/unskilled non res',1,bad
